,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,gorontalo,0.5412,123.0595,90.3,51,98,2.04,ID,1644204248
149,ternate,0.8,127.4,82.74,72,100,7.07,ID,1644204248
150,pindiga,9.9833,10.9333,64.62,27,0,8.28,NG,1644204248
151,gatesville,31.4352,-97.7439,46.69,64,0,0.0,US,1644204249
152,nazilli,37.9163,28.3223,40.39,67,9,3.24,TR,1644204249
153,savannah bight,16.45,-85.85,78.87,63,5,9.31,HN,1644204249
154,beni mazar,28.4962,30.8029,49.28,58,0,4.12,EG,1644204250
155,bethel,41.3712,-73.414,28.53,83,75,0.0,US,1644204250
156,ballina,-28.8667,153.5667,75.38,77,75,10.36,AU,1644204250
157,tual,-5.6667,132.75,83.21,70,33,2.66,ID,1644203985
158,bone,51.9669,12.1396,37.38,84,78,20.38,DE,1644204251
159,bubaque,11.2833,-15.8333,76.44,70,6,7.78,GW,1644204251
160,biak,-0.9131,122.8766,83.59,65,99,1.9,ID,1644204251
161,suluq,31.6682,20.2521,54.37,60,95,4.09,LY,1644204252
162,adrian,41.8975,-84.0372,27.36,73,0,1.01,US,1644204233
163,yulara,-25.2406,130.9889,91.24,17,0,13.8,AU,1644204252
164,mayor pablo lagerenza,-19.9309,-60.7718,78.55,41,25,8.59,PY,1644204253
165,nemuro,43.3236,145.575,28.83,71,30,11.52,JP,1644204253
166,schwedt,53.0596,14.2815,36.95,82,100,17.18,DE,1644204253
167,atwater,37.3477,-120.6091,59.59,71,0,0.0,US,1644204161
168,pisco,-13.7,-76.2167,67.01,94,40,4.61,PE,1644204254
169,mahebourg,-20.4081,57.7,79.25,82,100,11.21,MU,1644204254
170,udachnyy,66.4167,112.4,-13.54,98,99,4.36,RU,1644204067
171,contai,21.7786,87.7536,66.87,57,100,2.62,IN,1644204254
172,malanje,-9.5402,16.341,59.05,86,80,2.68,AO,1644204255
173,yellowknife,62.456,-114.3525,-3.59,91,20,3.44,CA,1644204255
174,port hardy,50.6996,-127.4199,46.76,81,100,18.41,CA,1644204255
175,makakilo city,21.3469,-158.0858,79.12,59,20,6.91,US,1644204256
176,gucheng,35.9115,111.3192,34.56,36,59,4.41,CN,1644204256
177,guerrero negro,27.9769,-114.0611,60.46,55,0,8.66,MX,1644204256
178,longyearbyen,78.2186,15.6401,15.64,73,0,4.61,SJ,1644204257
179,bernalillo,35.05,-106.6673,35.87,65,20,10.36,US,1644204257
180,jiaohe,43.7286,127.3447,9.84,86,55,3.29,CN,1644204257
181,ejea de los caballeros,42.1263,-1.1372,46.17,80,70,18.3,ES,1644204258
182,nichinan,31.6,131.3667,47.88,44,99,1.21,JP,1644204258
183,layou,13.2,-61.2667,76.48,80,84,12.44,VC,1644204258
184,lompoc,34.6391,-120.4579,57.22,76,0,5.75,US,1644204259
185,doka,13.5167,35.7667,64.62,33,1,10.54,SD,1644204259
186,maniitsoq,65.4167,-52.9,2.68,92,100,13.85,GL,1644204259
187,gadwal,16.2333,77.8,72.73,66,85,5.95,IN,1644204260
188,tallahassee,30.4383,-84.2807,46.63,92,100,1.01,US,1644204320
189,vestmannaeyjar,63.4427,-20.2734,37.38,97,100,58.56,IS,1644204320
190,asyut,27.181,31.1837,50.38,58,0,5.91,EG,1644204321
191,port elizabeth,-33.918,25.5701,70.92,74,25,3.51,ZA,1644204321
192,ponta delgada,37.7333,-25.6667,59.5,77,75,9.22,PT,1644204117
193,mana,5.6592,-53.7767,77.7,86,100,8.14,GF,1644204321
194,komsomolskiy,40.4272,71.7189,38.62,81,75,6.91,UZ,1644204111
195,ketchikan,55.3422,-131.6461,45.07,87,100,11.5,US,1644204322
196,lavrentiya,65.5833,-171.0,-15.63,95,56,5.19,RU,1644204322
197,bonavista,48.6499,-53.1147,12.11,64,55,19.15,CA,1644204323
198,goderich,43.7501,-81.7165,28.9,69,100,13.8,CA,1644204323
199,polazna,58.2946,56.4055,11.59,89,77,8.43,RU,1644204323
200,ati,13.2154,18.3353,62.28,15,0,11.03,TD,1644204323
201,regina,50.4501,-104.6178,33.8,86,0,10.36,CA,1644204162
202,husavik,66.0449,-17.3389,24.71,85,100,14.5,IS,1644204037
203,hervey bay,-25.2986,152.8535,75.04,92,89,5.99,AU,1644204324
204,fort beaufort,-32.7748,26.6338,71.46,54,77,4.59,ZA,1644204325
205,chokurdakh,70.6333,147.9167,-39.73,99,79,3.85,RU,1644204325
206,ciudad del maiz,22.4,-99.6,53.73,69,52,3.51,MX,1644204325
207,sao desiderio,-12.3633,-44.9733,68.74,96,100,3.27,BR,1644204326
208,lorengau,-2.0226,147.2712,83.64,76,99,7.54,PG,1644204326
209,amsterdam,52.374,4.8897,43.9,66,75,10.0,NL,1644204282
210,czluchow,53.6672,17.3588,36.14,86,100,7.72,PL,1644204326
211,egvekinot,66.3167,-179.1667,-13.27,85,1,9.75,RU,1644204327
212,la ronge,55.1001,-105.2842,12.45,85,75,3.44,CA,1644204327
213,lethem,3.3803,-59.7968,77.29,79,99,8.97,GY,1644204327
214,harper,4.375,-7.7169,78.76,83,100,6.06,LR,1644204328
215,tres arroyos,-38.3739,-60.2798,54.48,89,5,5.03,AR,1644204328
216,saint-joseph,-21.3667,55.6167,77.36,80,85,11.95,RE,1644204328
217,labuhan,-6.8844,112.2051,81.77,81,100,16.89,ID,1644204079
218,angoche,-16.2325,39.9086,73.63,94,94,10.31,MZ,1644204329
219,chaman,30.9236,66.4512,41.68,34,0,3.67,PK,1644204329
220,carnarvon,-24.8667,113.6333,78.87,36,6,20.71,AU,1644204330
221,ulaangom,49.9811,92.0667,-22.67,96,93,0.45,MN,1644204056
222,severo-kurilsk,50.6789,156.125,31.5,83,100,10.07,RU,1644204238
223,tres de maio,-27.7733,-54.24,65.91,54,0,5.53,BR,1644204330
224,hamadan,34.7992,48.5146,27.55,80,0,4.61,IR,1644204330
225,kamenka,51.3223,42.7678,16.75,99,92,6.42,RU,1644204331
226,sorland,67.667,12.6934,38.19,75,100,16.82,NO,1644204331
227,panzhihua,26.5851,101.7128,53.94,57,0,0.6,CN,1644204331
228,cabanas,22.9758,-82.9219,70.27,76,0,9.04,CU,1644204332
229,richards bay,-28.783,32.0377,71.53,90,81,2.59,ZA,1644204332
230,saint-philippe,-21.3585,55.7679,78.35,85,94,14.65,RE,1644204322
231,balikpapan,-1.2675,116.8289,83.39,79,40,10.36,ID,1644204332
232,graaff-reinet,-32.2522,24.5308,72.45,53,35,5.21,ZA,1644204333
233,magnitogorsk,53.4186,59.0472,7.63,85,100,8.95,RU,1644204393
234,auki,-8.7676,160.7034,84.31,79,100,11.12,SB,1644204393
235,okhotsk,59.3833,143.3,4.23,71,95,9.28,RU,1644204187
236,tiksi,71.6872,128.8694,-17.37,98,100,6.26,RU,1644204394
237,sibu,2.3,111.8167,82.71,78,40,5.75,MY,1644204243
238,guymon,36.6828,-101.4816,32.34,75,0,8.21,US,1644204394
239,ostrovnoy,68.0531,39.5131,11.53,88,16,18.66,RU,1644204240
240,loukhi,66.0764,33.0381,13.64,95,100,9.22,RU,1644204395
241,fort nelson,58.8053,-122.7002,15.39,92,20,5.75,CA,1644204244
242,siderno,38.2779,16.302,56.28,87,14,10.04,IT,1644204395
243,mar del plata,-38.0023,-57.5575,63.88,80,40,23.0,AR,1644204255
244,victoria,22.2855,114.1577,66.18,90,100,1.01,HK,1644204256
245,arraial do cabo,-22.9661,-42.0278,75.36,92,0,18.75,BR,1644204396
246,coquimbo,-29.9533,-71.3436,64.13,82,100,4.61,CL,1644204169
247,letlhakeng,-24.0944,25.0298,66.81,67,13,7.87,BW,1644204396
248,geraldton,-28.7667,114.6,77.41,38,40,17.27,AU,1644204396
249,east london,-33.0153,27.9116,70.74,94,0,4.61,ZA,1644203794
250,marshall,34.3834,-86.3333,40.37,75,0,3.44,US,1644204294
251,varhaug,58.6147,5.6457,38.75,68,41,33.2,NO,1644204137
252,pangnirtung,66.1451,-65.7125,-38.09,96,100,4.47,CA,1644204397
253,lohardaga,23.4333,84.6833,53.46,29,2,2.35,IN,1644204397
254,hambantota,6.1241,81.1185,79.14,83,40,5.75,LK,1644204398
255,bereda,43.2686,-7.5406,40.57,98,61,1.95,ES,1644204398
256,san andres,12.5847,-81.7006,78.82,78,20,8.05,CO,1644204387
257,bertrix,49.856,5.2554,36.3,82,88,14.85,BE,1644204398
258,uusikaupunki,60.8004,21.4084,23.52,99,58,4.79,FI,1644204399
259,tartagal,-22.5164,-63.8013,66.38,71,50,3.09,AR,1644204399
